customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
lz52266,california,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,460.0
pm27367,california,F,Master,277890,73570,70,1,Special Auto,Two-Door Car,75.0
zk21724,oregon,F,High School or Below,401654,0,111,0,Personal Auto,SUV,799.0
bh35482,washington,M,Doctor,493094,70412,61,0,Corporate Auto,Two-Door Car,136.0
qe22757,nevada,M,Doctor,249131,36631,62,0,Personal Auto,Four-Door Car,67.0
on77649,oregon,F,College,290887,35895,73,0,Personal Auto,Four-Door Car,312.0
rn82884,arizona,F,College,428294,40864,109,1,Personal Auto,SUV,166.0
cq75652,oregon,M,College,834162,0,118,0,Personal Auto,Four-Door Car,566.0
ff58467,arizona,F,Master,509078,93018,63,0,Personal Auto,Four-Door Car,135.0
bs83666,oregon,M,Bachelor,736618,70014,62,0,Corporate Auto,Four-Door Car,17.0
wo29605,oregon,F,College,243687,48875,61,0,Personal Auto,Two-Door Car,1.0
tl77607,california,M,Bachelor,885268,67969,74,0,Personal Auto,Four-Door Car,197.0
ez50606,oregon,F,High School or Below,2387547,0,108,0,Corporate Auto,SUV,612.0
os39723,oregon,F,Doctor,560049,68665,69,0,Personal Auto,Two-Door Car,331.0
fn69743,california,M,College,463654,26802,66,1,Corporate Auto,Two-Door Car,316.0
xw96958,nevada,M,High School or Below,757334,0,110,0,Corporate Auto,Four-Door Car,1193.0
tu92578,california,M,College,1469663,45345,125,0,Personal Auto,SUV,600.0
tl43709,washington,M,Bachelor,897214,89689,74,0,Personal Auto,Four-Door Car,136.0
ye68736,california,F,Bachelor,772484,32051,193,1,Personal Auto,SUV,926.0
ob96537,oregon,M,Master,594667,81139,74,0,Special Auto,Four-Door Car,392.0
eu68825,oregon,F,Master,800054,63834,100,1,Personal Auto,Luxury,215.0
cc31456,arizona,M,Bachelor,645756,37548,81,0,Special Auto,Four-Door Car,160.0
dj77787,arizona,F,High School or Below,728144,0,69,3,Personal Auto,Four-Door Car,371.0
ln26837,california,M,High School or Below,259243,72421,65,0,Personal Auto,Four-Door Car,312.0
yi92916,nevada,M,Master,467842,83102,116,0,Corporate Auto,Four-Door Car,443.0
nw54906,oregon,M,College,1386992,28432,118,0,Personal Auto,SUV,612.0
me77513,nevada,F,Master,871777,83707,108,0,Corporate Auto,Four-Door Car,290.0
uk76891,california,F,College,523398,63259,65,0,Corporate Auto,Four-Door Car,316.0
si26888,nevada,F,High School or Below,476418,0,67,0,Personal Auto,Four-Door Car,405.0
yd74948,oregon,F,College,247246,63860,62,0,Personal Auto,Four-Door Car,208.0
hb64268,washington,M,Bachelor,281369,43836,73,0,Personal Auto,Four-Door Car,138.0
bw52697,california,F,College,550505,86132,68,0,Personal Auto,Two-Door Car,301.0
nl41409,oregon,F,Bachelor,260620,28519,66,0,Personal Auto,Two-Door Car,456.0
od69005,arizona,F,High School or Below,1048194,39102,88,0,Personal Auto,Four-Door Car,152.0
zz91716,california,F,Bachelor,325676,0,89,0,Personal Auto,Four-Door Car,491.0
uk70255,california,F,College,3047578,97298,128,0,Personal Auto,Luxury,48.0
qt25383,nevada,M,High School or Below,636490,41986,84,2,Personal Auto,Two-Door Car,430.0
aw18068,arizona,M,High School or Below,946850,0,88,0,Personal Auto,Two-Door Car,633.0
ns45347,oregon,F,College,563145,17291,73,0,Personal Auto,Four-Door Car,350.0
fv19421,california,M,Bachelor,778099,0,74,0,Personal Auto,Four-Door Car,246.0
xw89091,california,M,College,981652,37256,62,0,Personal Auto,Four-Door Car,128.0
yc11951,oregon,M,High School or Below,751913,96306,95,1,Corporate Auto,Four-Door Car,185.0
uy18770,california,F,Bachelor,1017971,14290,271,0,Personal Auto,Luxury,1300.0
ra49085,california,F,College,277283,37038,71,1,Corporate Auto,Four-Door Car,9.0
bg84194,oregon,M,College,403750,90760,103,2,Special Auto,SUV,133.0
pt64580,washington,M,Master,419196,77048,103,0,Personal Auto,SUV,141.0
mr67738,oregon,F,High School or Below,267686,54480,67,0,Personal Auto,Four-Door Car,321.0
dm95829,california,M,College,252395,16244,68,0,Personal Auto,Two-Door Car,623.0
db75522,california,F,College,698840,22436,89,0,Special Auto,Four-Door Car,427.0
lm34525,washington,F,College,874205,71592,72,0,Personal Auto,Four-Door Car,141.0
ww30771,arizona,M,Master,267331,28728,67,0,Personal Auto,Four-Door Car,321.0
qp65569,arizona,M,High School or Below,1215732,57449,103,0,Personal Auto,Four-Door Car,494.0
tn50051,california,F,Doctor,295776,83318,73,0,Personal Auto,Two-Door Car,211.0
uo86707,washington,M,Bachelor,717390,75217,61,1,Personal Auto,Four-Door Car,147.0
ja41698,nevada,M,Bachelor,309953,0,102,5,Corporate Auto,SUV,862.0
nx18774,oregon,M,Bachelor,841568,55308,107,0,Corporate Auto,SUV,513.0
da69469,oregon,F,College,2684312,36068,97,0,Personal Auto,Two-Door Car,113.0
cn23147,oregon,M,Bachelor,1305717,48804,112,1,Corporate Auto,Four-Door Car,537.0
ra68844,oregon,M,College,959995,0,131,0,Personal Auto,SUV,943.0
gh42026,oregon,M,Bachelor,853510,55790,111,0,Personal Auto,SUV,117.0
bd16530,arizona,F,Bachelor,829348,70258,69,0,Personal Auto,Four-Door Car,225.0
jh91579,oregon,F,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456.0
wk23685,oregon,F,Bachelor,663685,47274,83,1,Corporate Auto,Four-Door Car,182.0
gr62267,washington,F,College,560908,44705,71,0,Personal Auto,Two-Door Car,148.0
pi78084,arizona,M,High School or Below,507732,0,73,0,Personal Auto,Two-Door Car,525.0
gf97874,washington,F,Master,527562,70446,65,0,Personal Auto,Four-Door Car,155.0
zh19885,washington,F,High School or Below,251459,43860,65,0,Personal Auto,Four-Door Car,156.0
uk25655,oregon,F,Bachelor,343525,64348,86,0,Personal Auto,Two-Door Car,212.0
qr45101,oregon,M,Bachelor,662461,0,62,0,Corporate Auto,Two-Door Car,297.0
el93539,california,M,Master,575744,88997,72,0,Special Auto,Four-Door Car,174.0
ee99484,washington,F,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156.0
dp46882,california,F,High School or Below,288645,10312,78,0,Corporate Auto,Four-Door Car,486.0
wp41146,california,F,High School or Below,534143,0,72,1,Personal Auto,Four-Door Car,345.0
tk60799,arizona,F,High School or Below,416001,96263,103,0,Personal Auto,SUV,1.0
dn29808,california,F,College,284624,28919,72,0,Corporate Auto,Four-Door Car,518.0
ss59521,oregon,F,College,477025,0,68,1,Personal Auto,Two-Door Car,326.0
ng66579,oregon,M,Bachelor,505961,41869,64,0,Personal Auto,Two-Door Car,262.0
tc14209,arizona,F,High School or Below,909574,0,128,0,Personal Auto,SUV,921.0
ed50963,california,F,High School or Below,268886,32808,68,1,Personal Auto,Four-Door Car,541.0
gp40701,california,F,Bachelor,827763,79780,68,0,Personal Auto,Four-Door Car,326.0
cp98451,oregon,F,College,905793,91025,112,0,Personal Auto,SUV,327.0
nx52648,california,F,High School or Below,380175,33043,95,0,Personal Auto,Two-Door Car,456.0
zc32510,arizona,M,High School or Below,933934,69442,118,3,Personal Auto,Four-Door Car,1265.0
ng27780,oregon,M,College,252012,0,70,0,Corporate Auto,Four-Door Car,63.0
hn95240,arizona,F,College,498409,0,70,0,Corporate Auto,Four-Door Car,336.0
eb59129,oregon,F,Bachelor,259574,47234,65,0,Personal Auto,Four-Door Car,15.0
ra70851,oregon,M,High School or Below,743769,86863,92,0,Personal Auto,Four-Door Car,441.0
pm19162,oregon,M,Bachelor,1453678,25805,66,2,Personal Auto,Four-Door Car,375.0
ms59005,nevada,M,Bachelor,591330,43676,76,0,Personal Auto,Four-Door Car,364.0
su71163,arizona,M,College,277166,59855,74,4,Personal Auto,Two-Door Car,355.0
bd35676,arizona,M,Master,2919436,35296,126,0,Personal Auto,SUV,452.0
ni44621,oregon,F,Master,988038,36576,125,1,Personal Auto,SUV,113.0
ew33419,california,F,High School or Below,1511440,28513,100,1,Corporate Auto,SUV,480.0
hx44948,oregon,M,Bachelor,575991,85448,72,0,Special Auto,Four-Door Car,16.0
dl36983,oregon,F,High School or Below,849516,23791,110,3,Personal Auto,Two-Door Car,615.0
xr87264,california,F,Bachelor,438118,20597,112,0,Personal Auto,Four-Door Car,615.0
nn99001,arizona,F,College,699782,56940,87,0,Personal Auto,Four-Door Car,512.0
xv95530,oregon,M,Bachelor,1143058,93210,71,0,Personal Auto,Two-Door Car,74.0
ol97871,oregon,F,Bachelor,748248,48992,94,1,Personal Auto,Four-Door Car,426.0
hq23708,arizona,F,Master,859691,53736,71,0,Personal Auto,Two-Door Car,169.0
wr63188,arizona,M,College,785496,25378,66,1,Personal Auto,Four-Door Car,419.0
ng82219,oregon,F,Bachelor,258240,76731,64,0,Personal Auto,Four-Door Car,201.0
ku29408,washington,M,Master,907576,37722,116,0,Corporate Auto,Luxury,158.0
re46783,california,F,Bachelor,411858,69379,103,0,Personal Auto,Two-Door Car,494.0
ru94434,oregon,M,High School or Below,1215732,57449,103,0,Personal Auto,Four-Door Car,494.0
gi82355,arizona,M,Bachelor,515281,0,68,0,Corporate Auto,Four-Door Car,326.0
vo26340,nevada,M,College,651297,0,93,0,Personal Auto,Two-Door Car,669.0
nv61299,arizona,F,Bachelor,2778969,33806,89,0,Corporate Auto,Four-Door Car,395.0
dx31066,washington,F,College,266727,94041,66,0,Personal Auto,Four-Door Car,159.0
cy50337,oregon,F,College,1092840,74965,90,0,Personal Auto,Four-Door Car,58.0
tj20375,arizona,F,High School or Below,761538,34095,63,0,Personal Auto,Two-Door Car,302.0
ep72155,california,F,College,200435,0,66,4,Personal Auto,Four-Door Car,316.0
jj76159,california,M,College,243468,96045,61,0,Corporate Auto,Four-Door Car,8.0
bg15419,nevada,F,Bachelor,1419536,86355,118,0,Personal Auto,Luxury,285.0
ao74776,california,F,High School or Below,942768,27824,118,0,Personal Auto,SUV,566.0
hq82233,california,M,High School or Below,1198242,42995,101,0,Personal Auto,SUV,410.0
ol72737,oregon,F,High School or Below,310278,21235,79,0,Personal Auto,Two-Door Car,244.0
zq59828,california,M,High School or Below,422263,74585,106,0,Personal Auto,SUV,218.0
nz15548,oregon,M,Bachelor,402381,41833,103,0,Personal Auto,Four-Door Car,643.0
xk61304,california,F,College,529715,23908,70,0,Personal Auto,Four-Door Car,336.0
ej44139,oregon,M,Bachelor,2142363,0,65,0,Personal Auto,Two-Door Car,312.0
cm94425,arizona,M,Bachelor,441620,61953,113,0,Personal Auto,SUV,497.0
ov54878,california,M,Bachelor,463903,0,142,0,Corporate Auto,SUV,1022.0
jf57282,nevada,M,Bachelor,486354,0,137,0,Personal Auto,SUV,657.0
my37953,arizona,F,Bachelor,2583090,73760,107,1,Personal Auto,Luxury,230.0
xp64922,oregon,F,College,297431,23333,74,0,Corporate Auto,Four-Door Car,5.0
wl65572,california,M,College,206445,0,61,0,Personal Auto,Four-Door Car,292.0
ln50325,arizona,F,High School or Below,1006460,20440,128,2,Corporate Auto,Luxury,614.0
hj15383,washington,M,Master,803240,27658,68,0,Personal Auto,Four-Door Car,160.0
kh59823,california,M,College,548921,50943,139,0,Special Auto,SUV,667.0
ym79169,california,M,Bachelor,261275,19003,71,0,Personal Auto,Two-Door Car,34.0
dr38127,california,M,College,857346,46703,108,0,Personal Auto,Four-Door Car,678.0
pu42145,california,M,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511.0
km33477,oregon,M,College,855038,21733,73,0,Corporate Auto,Four-Door Car,525.0
ri53167,arizona,M,Bachelor,230864,20811,61,0,Personal Auto,Four-Door Car,292.0
of77789,arizona,F,High School or Below,425462,11904,61,2,Personal Auto,Two-Door Car,292.0
yb33445,oregon,F,College,898285,43490,114,4,Corporate Auto,SUV,174.0
ba17836,california,M,High School or Below,786816,57340,67,0,Corporate Auto,Four-Door Car,159.0
js43228,california,M,College,770424,49088,97,0,Corporate Auto,Four-Door Car,698.0
bb11622,nevada,M,Master,1055217,47761,131,0,Personal Auto,SUV,232.0
hq70429,washington,F,College,1604510,0,65,0,Personal Auto,Two-Door Car,163.0
wk88044,arizona,M,Bachelor,873783,61281,110,0,Personal Auto,SUV,79.0
la80525,nevada,M,Bachelor,545489,0,82,1,Corporate Auto,Two-Door Car,393.0
eh16250,arizona,M,Bachelor,770528,25290,66,0,Personal Auto,Four-Door Car,382.0
pu41872,arizona,F,High School or Below,703926,24239,88,0,Personal Auto,Four-Door Car,48.0
hb85743,california,M,Bachelor,883808,82664,114,3,Personal Auto,SUV,133.0
mm71959,arizona,M,Bachelor,873352,83210,110,0,Personal Auto,Luxury,528.0
mb83663,oregon,F,Bachelor,959747,38736,81,0,Personal Auto,Two-Door Car,561.0
kr43119,california,M,College,450666,0,66,0,Personal Auto,Four-Door Car,316.0
kh24214,oregon,M,College,1785797,55437,64,1,Personal Auto,Four-Door Car,445.0
ac40767,washington,M,Bachelor,249780,68041,6464,0,Personal Auto,Two-Door Car,165.0
hp55391,oregon,M,Master,542613,0,71,0,Corporate Auto,Four-Door Car,407.0
eg62398,california,F,High School or Below,799814,29066,100,0,Personal Auto,SUV,844.0
vs19949,nevada,M,Bachelor,289762,54337,72,0,Personal Auto,Four-Door Car,345.0
am92343,oregon,F,High School or Below,1159950,67616,96,0,Personal Auto,Four-Door Car,340.0
gi68556,california,F,Bachelor,1514793,41082,63,0,Personal Auto,Two-Door Car,106.0
jt11876,washington,F,High School or Below,543576,0,10202,0,Personal Auto,Four-Door Car,626.0
xr64251,nevada,F,Master,272535,36650,69,1,Personal Auto,Four-Door Car,56.0
mk34957,oregon,F,College,1329771,50631,112,4,Special Auto,SUV,784.0
gp18756,california,M,College,992704,19592,92,0,Personal Auto,Four-Door Car,441.0
ap23850,washington,F,High School or Below,1777154,0,114,0,Personal Auto,Two-Door Car,547.0
kq65521,arizona,F,College,1826927,55761,115,0,Personal Auto,Luxury,86.0
ej19449,california,F,College,272221,17576,71,0,Special Auto,Four-Door Car,398.0
qb70027,california,F,Bachelor,708321,41449,89,0,Personal Auto,Four-Door Car,63.0
qw47320,california,F,Bachelor,1017971,14290,271,0,Personal Auto,Luxury,1300.0
kh64733,nevada,F,College,588950,62007,73,0,Personal Auto,Four-Door Car,120.0
on59472,arizona,M,High School or Below,1577139,21921,206,0,Corporate Auto,Luxury,1254.0
hp94242,arizona,F,Bachelor,528817,42621,66,0,Personal Auto,Four-Door Car,316.0
rv15398,oregon,M,College,2758055,0,87,1,Personal Auto,Four-Door Car,417.0
ea25683,washington,M,High School or Below,777853,63786,196,0,Corporate Auto,Luxury,798.0
pw73754,california,F,High School or Below,734186,0,104,3,Personal Auto,Luxury,82.0
mc71942,california,F,High School or Below,791919,82877,99,1,Personal Auto,Two-Door Car,22.0
ox72195,arizona,M,College,216387,0,63,0,Corporate Auto,Two-Door Car,302.0
yq99152,nevada,M,High School or Below,978780,10475,88,1,Personal Auto,Two-Door Car,422.0
ki19439,oregon,F,High School or Below,520764,21952,66,0,Personal Auto,Four-Door Car,316.0
pm76175,oregon,F,Bachelor,2114727,49721,132,0,Corporate Auto,Luxury,639.0
us45383,california,M,College,1228076,88340,102,0,Personal Auto,Two-Door Car,489.0
gt38956,california,F,College,244139,0,65,0,Personal Auto,Four-Door Car,312.0
sn41301,oregon,M,Bachelor,653556,0,65,0,Corporate Auto,Four-Door Car,468.0
be62503,washington,F,College,920659,24589,82,0,Personal Auto,Two-Door Car,511.0
pa16884,california,F,Bachelor,411858,69379,103,0,Personal Auto,Two-Door Car,494.0
nc58480,nevada,F,Bachelor,483820,73769,61,2,Personal Auto,Four-Door Car,239.0
ns39326,california,F,College,462554,66670,114,0,Personal Auto,SUV,518.0
pn18507,arizona,M,Bachelor,1404210,88854,118,0,Personal Auto,Two-Door Car,715.0
ek91340,oregon,M,Bachelor,754661,31266,193,0,Corporate Auto,Luxury,926.0
jy16280,california,F,High School or Below,251459,43860,65,0,Personal Auto,Four-Door Car,156.0
zw71731,california,M,Bachelor,517035,89284,133,2,Corporate Auto,SUV,402.0
zc24631,oregon,M,College,1391737,67267,89,0,Corporate Auto,Four-Door Car,94.0
yr34689,california,F,High School or Below,1131813,79270,95,3,Personal Auto,Four-Door Car,456.0
rt65829,oregon,M,Bachelor,427636,36692,109,1,Personal Auto,Four-Door Car,523.0
bz12077,oregon,F,High School or Below,432224,0,119,0,Personal Auto,SUV,571.0
wm65373,california,F,College,800230,0,107,0,Corporate Auto,SUV,513.0
nh35059,nevada,M,College,388545,0,105,0,Corporate Auto,Four-Door Car,504.0
qd38160,oregon,M,College,447177,0,135,0,Personal Auto,SUV,972.0
bm15160,california,F,High School or Below,849635,44624,71,1,Special Auto,Four-Door Car,73.0
vy79030,arizona,F,College,2250088,0,71,0,Corporate Auto,Four-Door Car,340.0
ev19512,nevada,F,Master,1630196,19614,85,0,Personal Auto,Two-Door Car,574.0
te13577,oregon,F,College,231973,0,64,0,Personal Auto,Four-Door Car,632.0
wy97929,arizona,M,College,871704,83846,74,3,Special Auto,Four-Door Car,355.0
yg20683,washington,M,College,286011,51159,72,0,Personal Auto,Four-Door Car,4.0
fk75497,california,M,College,245340,83772,62,0,Personal Auto,Two-Door Car,42.0
ne60110,arizona,M,College,598977,66839,154,0,Personal Auto,Luxury,739.0
tn36521,arizona,F,College,2498022,88440,70,0,Personal Auto,Two-Door Car,27.0
hg33568,arizona,F,Master,748263,25666,63,2,Personal Auto,Four-Door Car,270.0
tw17878,oregon,F,High School or Below,245757,52926,61,0,Personal Auto,Four-Door Car,292.0
zo83562,nevada,F,Bachelor,237974,0,67,0,Personal Auto,Four-Door Car,494.0
ch97539,washington,F,Bachelor,828696,40001,70,0,Personal Auto,Four-Door Car,142.0
cv29889,california,M,College,239391,0,70,0,Personal Auto,Four-Door Car,425.0
mo33320,oregon,M,College,465715,18024,65,0,Personal Auto,Two-Door Car,312.0
qz81258,oregon,F,College,1319792,0,68,3,Personal Auto,Four-Door Car,326.0
ny56352,oregon,F,Bachelor,280391,23220,74,0,Personal Auto,Four-Door Car,251.0
ea27048,california,F,High School or Below,864650,64125,108,0,Personal Auto,SUV,369.0
ut38865,oregon,F,College,742587,58042,62,0,Corporate Auto,Four-Door Car,161.0
qc89139,oregon,F,High School or Below,452873,90034,112,0,Corporate Auto,SUV,537.0
la14484,nevada,M,High School or Below,222707,27972,61,0,Special Auto,Four-Door Car,292.0
hn57556,california,F,High School or Below,729294,0,65,0,Personal Auto,Four-Door Car,312.0
cv31235,arizona,M,Bachelor,318435,50989,80,0,Corporate Auto,Four-Door Car,255.0
wr45726,arizona,F,Bachelor,1131520,11885,101,0,Special Auto,Four-Door Car,484.0
lb25094,california,F,Bachelor,253070,89451,63,0,Special Auto,Four-Door Car,61.0
kw56110,oregon,M,Bachelor,1836155,0,182,0,Personal Auto,Luxury,1310.0
xo36233,washington,M,Bachelor,864153,78904,109,0,Personal Auto,SUV,250.0
zx86243,arizona,M,Doctor,327853,70247,83,1,Personal Auto,Four-Door Car,141.0
dw29763,arizona,M,High School or Below,527198,32653,67,0,Personal Auto,Two-Door Car,321.0
ct83377,washington,M,High School or Below,376363,93595,97,4,Special Auto,Four-Door Car,49.0
oq90898,california,M,Master,1395556,90279,115,0,Personal Auto,SUV,372.0
go77248,oregon,F,College,500152,0,72,0,Personal Auto,Four-Door Car,542.0
qw33258,california,M,Bachelor,708283,53310,189,3,Personal Auto,Luxury,1360.0
ou79745,california,M,College,761948,0,105,0,Personal Auto,Four-Door Car,504.0
vz79886,oregon,F,Bachelor,1255088,22234,160,0,Personal Auto,SUV,768.0
fi92440,washington,F,High School or Below,3219660,91375,99,0,Personal Auto,Two-Door Car,72.0
yg85980,nevada,F,High School or Below,679377,22250,86,0,Personal Auto,Two-Door Car,720.0
qm74621,oregon,M,Bachelor,527231,0,80,0,Personal Auto,Four-Door Car,576.0
ei71732,oregon,F,Doctor,626534,0,84,1,Personal Auto,Four-Door Car,481.0
vn79010,california,F,High School or Below,854758,51179,71,0,Corporate Auto,Four-Door Car,466.0
fi61723,california,M,Bachelor,278742,38667,72,0,Personal Auto,Four-Door Car,159.0
oh55411,california,F,Master,462680,79487,114,0,Corporate Auto,SUV,547.0
tf10720,nevada,F,Doctor,866336,67763,107,2,Personal Auto,Four-Door Car,41.0
nw30838,nevada,M,High School or Below,387222,0,62,2,Corporate Auto,Four-Door Car,503.0
cb58476,oregon,F,College,517081,0,71,0,Corporate Auto,Four-Door Car,859.0
wi69346,california,F,Master,896028,71943,112,0,Corporate Auto,SUV,305.0
fs76657,oregon,F,College,547183,53526,68,0,Personal Auto,Four-Door Car,278.0
yx89016,oregon,M,College,3493100,35005,295,0,Personal Auto,Luxury,1416.0
pk28821,california,M,College,262039,24721,67,0,Personal Auto,Four-Door Car,139.0
mb51200,washington,M,College,1906949,0,102,2,Personal Auto,Four-Door Car,734.0
xg44587,arizona,M,Master,575744,88997,72,0,Personal Auto,Four-Door Car,174.0
fg91922,arizona,M,Master,4022401,48587,111,0,Personal Auto,SUV,532.0
om99303,arizona,F,High School or Below,270148,76310,67,0,Personal Auto,Two-Door Car,321.0
rv67546,california,M,Bachelor,371243,73205,92,0,Personal Auto,Four-Door Car,37.0
uj79253,oregon,F,College,2185084,51056,78,0,Personal Auto,Four-Door Car,95.0
pn98247,california,M,College,784016,58414,210,2,Personal Auto,Luxury,1008.0
ib67546,california,F,Bachelor,823703,23940,107,0,Personal Auto,SUV,513.0
oe19087,california,F,High School or Below,224347,0,62,0,Personal Auto,Four-Door Car,446.0
cm95716,california,M,Bachelor,843446,44216,71,0,Personal Auto,Four-Door Car,72.0
mw62634,california,M,High School or Below,222707,27972,61,0,Corporate Auto,Four-Door Car,292.0
qw67581,arizona,F,High School or Below,517002,0,69,0,Personal Auto,Four-Door Car,331.0
sn16059,california,F,Master,264144,29305,66,0,Personal Auto,Four-Door Car,475.0
oe51254,california,F,College,279068,53882,69,0,Personal Auto,Four-Door Car,331.0
rm42344,oregon,M,College,274512,91757,69,1,Personal Auto,Four-Door Car,331.0
gb35238,california,F,Bachelor,757953,33906,64,0,Personal Auto,Two-Door Car,401.0
ml82674,oregon,M,Bachelor,1097878,68158,139,1,Personal Auto,SUV,253.0
ei85244,california,M,College,825506,0,134,3,Personal Auto,SUV,643.0
de28132,oregon,M,College,474773,42165,123,0,Corporate Auto,SUV,799.0
tv25678,washington,M,College,354090,0,101,0,Personal Auto,SUV,727.0
ty26512,california,M,Doctor,343613,30817,88,0,Personal Auto,Four-Door Car,91.0
ob69153,california,M,Bachelor,258218,68074,65,0,Personal Auto,Four-Door Car,27.0
qz77637,washington,F,College,1166509,84978,35353,1,Corporate Auto,Four-Door Car,166.0
xn41715,california,F,Master,739628,71135,92,1,Personal Auto,Four-Door Car,270.0
qr15857,california,F,College,433079,0,61,0,Personal Auto,Two-Door Car,292.0
fl69363,oregon,M,Master,907576,37722,116,0,Personal Auto,Luxury,158.0
is30295,arizona,F,Bachelor,1463545,0,139,0,Personal Auto,SUV,667.0
wa25797,washington,M,High School or Below,856476,95697,107,0,Personal Auto,Luxury,178.0
nl59519,california,F,College,1156568,64642,96,0,Personal Auto,Four-Door Car,404.0
zu93025,oregon,F,College,277104,50071,71,0,Personal Auto,Two-Door Car,18.0
dk94262,oregon,M,High School or Below,850712,46754,106,1,Personal Auto,SUV,513.0
uq30615,california,M,College,758211,64801,64,0,Corporate Auto,Four-Door Car,268.0
or40060,arizona,M,Bachelor,332309,70410,83,0,Personal Auto,Four-Door Car,131.0
dk32872,nevada,F,High School or Below,523433,66957,131,1,Personal Auto,SUV,628.0
fa46418,nevada,F,High School or Below,2470959,24213,78,1,Personal Auto,Four-Door Car,374.0
er19995,washington,F,College,1778627,99790,6464,0,Personal Auto,Four-Door Car,178.0
ki75855,oregon,M,Master,255122,79751,63,0,Personal Auto,Two-Door Car,392.0
nd41876,arizona,M,High School or Below,724771,86122,182,1,Personal Auto,Luxury,873.0
pn21042,arizona,M,Bachelor,453884,82297,116,0,Personal Auto,Luxury,0.0
gj43254,washington,M,College,3164210,89057,98,0,Corporate Auto,Two-Door Car,187.0
al46984,california,M,High School or Below,873042,43259,73,0,Personal Auto,Four-Door Car,350.0
jp58047,oregon,M,College,833273,0,79,0,Personal Auto,Four-Door Car,379.0
ze85014,california,M,College,235774,25064,62,0,Personal Auto,Four-Door Car,297.0
ku88219,arizona,M,Master,463716,25816,119,0,Personal Auto,Luxury,571.0
uu98729,california,M,Bachelor,535719,0,73,0,Personal Auto,Four-Door Car,350.0
ws82822,oregon,F,College,539197,41662,69,0,Corporate Auto,Four-Door Car,217.0
yb49933,arizona,M,Bachelor,369414,96170,92,0,Personal Auto,Four-Door Car,441.0
xc16387,arizona,F,High School or Below,504041,46072,64,0,Personal Auto,Four-Door Car,25.0
xj96748,arizona,F,High School or Below,2749542,37931,99,0,Personal Auto,Four-Door Car,475.0
tm98684,oregon,M,High School or Below,484228,35127,62,0,Personal Auto,Four-Door Car,297.0
ay18433,washington,F,High School or Below,2738281,45473,76,0,Special Auto,Two-Door Car,188.0
dm74502,nevada,F,College,522710,93087,131,3,Corporate Auto,Luxury,628.0
ft56968,arizona,M,High School or Below,259009,22398,67,2,Personal Auto,Four-Door Car,321.0
ox36896,california,M,High School or Below,1053607,92983,87,1,Corporate Auto,Four-Door Car,153.0
bz65376,arizona,M,Bachelor,858127,27689,239,2,Personal Auto,Luxury,2893.0
ln34660,california,F,College,946311,69654,118,0,Corporate Auto,SUV,629.0
jc29295,california,F,Bachelor,1344100,80744,111,0,Personal Auto,SUV,361.0
kj87930,california,F,Bachelor,388650,0,112,0,Corporate Auto,SUV,1185.0
xt36360,arizona,F,High School or Below,678489,0,64,1,Personal Auto,Four-Door Car,460.0
ix35050,arizona,M,Bachelor,2359468,76358,66,0,Special Auto,Four-Door Car,86.0
un97379,oregon,M,Bachelor,253862,18608,71,0,Corporate Auto,Four-Door Car,340.0
mr57294,california,M,High School or Below,563994,73168,70,0,Personal Auto,Four-Door Car,425.0
ug79499,washington,M,Bachelor,1168137,70930,99,0,Personal Auto,Four-Door Car,190.0
ua50747,washington,F,High School or Below,2599775,62262,72,0,Corporate Auto,Four-Door Car,193.0
gl20444,nevada,F,Master,1377836,91474,113,0,Corporate Auto,Two-Door Car,24.0
sp58110,california,F,Bachelor,492318,61469,63,5,Personal Auto,Four-Door Car,302.0
xm91635,arizona,F,High School or Below,227233,16618,62,0,Special Auto,Four-Door Car,219.0
tv82603,california,F,Bachelor,1489539,48081,188,0,Personal Auto,Luxury,881.0
bb82067,oregon,M,Doctor,975604,67632,121,0,Personal Auto,Luxury,26.0
jp94676,oregon,F,Bachelor,942297,34115,119,0,Personal Auto,SUV,466.0
vu53417,arizona,M,High School or Below,383735,23051,99,0,Personal Auto,Two-Door Car,475.0
iw54795,california,M,College,1095213,23748,99,0,Personal Auto,Four-Door Car,607.0
rn78170,arizona,F,College,815913,40589,69,0,Corporate Auto,Four-Door Car,331.0
ix55883,california,F,College,1948049,50809,83,0,Personal Auto,Four-Door Car,290.0
xm72420,arizona,F,High School or Below,391936,66676,97,0,Personal Auto,Four-Door Car,558.0
gc15104,nevada,F,Bachelor,798514,52339,70,3,Corporate Auto,Four-Door Car,336.0
rx13282,oregon,M,Bachelor,1216874,14973,115,0,Personal Auto,SUV,828.0
qa85890,arizona,F,High School or Below,584932,0,83,0,Corporate Auto,Four-Door Car,540.0
ir62668,arizona,F,Bachelor,508583,31546,65,0,Personal Auto,Four-Door Car,100.0
al96740,california,F,College,290393,67763,73,1,Personal Auto,Four-Door Car,59.0
ss48498,washington,F,College,627317,20836,79,0,Corporate Auto,Four-Door Car,193.0
pe39479,washington,M,College,1832141,88592,76,0,Corporate Auto,Four-Door Car,199.0
